number,value,datetime_start,datetime_complete,duration,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,state
0,-0.6366730818344307,2026-05-08 11:22:52.521567,2026-05-08 11:22:52.684299,0 days 00:00:00.162732,3,0.03,0.01,0.3,0.12,50,5,0.5,-0.5212576607076007,-0.052080580868529326,0.23083084225366002,0.46917707983907136,COMPLETE
1,-0.6113107887239699,2026-05-08 11:22:52.692502,2026-05-08 11:22:52.857157,0 days 00:00:00.164655,4,0.05,0.01,0.3,0.12,30,10,0.5,-0.4915121035520145,-0.008758949071099207,0.2395973703439109,0.4827531544809153,COMPLETE
2,-0.5937848188375391,2026-05-08 11:22:52.865240,2026-05-08 11:22:53.021423,0 days 00:00:00.156183,4,0.05,0.02,0.6,0.12,50,20,0.65,-0.47552020279605084,-0.00806779301665121,0.23652923208297652,0.4674524097793996,COMPLETE
3,-0.637832931249574,2026-05-08 11:22:53.029644,2026-05-08 11:22:53.190055,0 days 00:00:00.160411,2,0.05,0.02,0.3,0.12,10,20,0.8,-0.5031705456936576,-0.05120559485600534,0.2693247711118328,0.45196495083765226,COMPLETE
4,-0.6180674544892248,2026-05-08 11:22:53.200294,2026-05-08 11:22:53.363026,0 days 00:00:00.162732,4,0.05,0.01,0.6,0.16,30,10,0.5,-0.5030129240257253,-0.022597535884867348,0.230109060926999,0.48041538814085794,COMPLETE
5,-0.6305918583205823,2026-05-08 11:22:53.371587,2026-05-08 11:22:53.464939,0 days 00:00:00.093352,2,0.03,0.02,0.3,0.16,20,20,0.8,,,,,PRUNED
6,-0.49156833193709215,2026-05-08 11:22:53.473128,2026-05-08 11:22:53.586227,0 days 00:00:00.113099,3,0.05,0.01,0.45,0.16,50,20,0.65,,,,,PRUNED
7,-0.6071499313077073,2026-05-08 11:22:53.594746,2026-05-08 11:22:53.749079,0 days 00:00:00.154333,3,0.05,0.01,0.6,0.12,30,5,0.65,-0.4874325992686154,-0.011780422613316577,0.23943466407818384,0.4756521766552988,COMPLETE
8,-0.7094544694288676,2026-05-08 11:22:53.757126,2026-05-08 11:22:53.847547,0 days 00:00:00.090421,4,0.03,0.01,0.45,0.16,10,20,0.5,,,,,PRUNED
9,-0.650954743325313,2026-05-08 11:22:53.855696,2026-05-08 11:22:53.951246,0 days 00:00:00.095550,2,0.05,0.01,0.3,0.16,10,20,0.65,,,,,PRUNED
10,-0.4890617986389082,2026-05-08 11:22:53.961587,2026-05-08 11:22:54.115993,0 days 00:00:00.154406,4,0.05,0.02,0.6,0.16,50,20,0.65,,,,,PRUNED
11,-0.6071499313077073,2026-05-08 11:22:54.127677,2026-05-08 11:22:54.301979,0 days 00:00:00.174302,3,0.05,0.01,0.6,0.12,30,5,0.65,-0.4874325992686154,-0.011780422613316577,0.23943466407818384,0.4756521766552988,COMPLETE
12,-0.5937848188375391,2026-05-08 11:22:54.310056,2026-05-08 11:22:54.473589,0 days 00:00:00.163533,4,0.05,0.02,0.6,0.12,30,20,0.8,-0.47552020279605084,-0.00806779301665121,0.23652923208297652,0.4674524097793996,COMPLETE
