number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
0,-9999.0,2026-05-10 10:33:23.703537,2026-05-10 10:33:24.058602,0 days 00:00:00.355065,1,NORMAL,0.35,SAME,0.7,4,0.03,0.02,0.6,0.12,12,0.7,5,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.35 / 0.7 / 0.7,COMPLETE
1,-0.7084285217066206,2026-05-10 10:33:24.080559,2026-05-10 10:42:15.594523,0 days 00:08:51.513964,2,NO_NET_ADD,0.35,SAME,0.7,2,0.05,0.01,0.3,0.16,8,0.5,5,0.65,-0.37766108444916197,-0.09041677346536924,0.6615348745149172,0.2872443109837927,,COMPLETE
2,-0.5865614503926813,2026-05-10 10:42:15.635771,2026-05-10 10:43:20.923078,0 days 00:01:05.287307,0,NO_NET_ADD,0.25,ETF_DEFENSIVE,0.8,2,0.03,0.01,0.45,0.12,12,0.6,10,0.65,-0.25229279001880195,0.08244731133307012,0.6685373207477585,0.33474010135187204,,COMPLETE
3,-9999.0,2026-05-10 10:43:20.947181,2026-05-10 10:43:21.235311,0 days 00:00:00.288130,2,NO_NET_ADD,0.25,ETF_DEFENSIVE,0.7,4,0.03,0.01,0.6,0.08,15,0.7,10,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.25 / 0.7 / 0.7,COMPLETE
4,-0.5866746804137273,2026-05-10 10:43:21.261213,2026-05-10 10:44:37.513868,0 days 00:01:16.252655,1,CAP_LAYER,0.25,ETF_DEFENSIVE,0.8,2,0.05,0.01,0.45,0.08,8,0.6,5,0.65,-0.30785182554677515,-0.03728065531472078,0.5576457097339044,0.27057117023205435,,COMPLETE
5,-0.17904166071651584,2026-05-10 10:44:37.538141,2026-05-10 10:45:40.444483,0 days 00:01:02.906342,2,CAP_LAYER,0.25,SAME,0.8,2,0.05,0.01,0.3,0.12,12,0.6,10,0.8,,,,,,PRUNED
6,-9999.0,2026-05-10 10:45:40.467223,2026-05-10 10:45:40.765577,0 days 00:00:00.298354,1,NORMAL,0.25,ETF_DEFENSIVE,0.7,3,0.05,0.01,0.3,0.16,5,0.7,10,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.25 / 0.7 / 0.7,COMPLETE
7,-9999.0,2026-05-10 10:45:40.790069,2026-05-10 10:45:41.074861,0 days 00:00:00.284792,2,CAP_LAYER,0.45,SAME,0.7,4,0.05,0.01,0.3,0.16,5,0.7,20,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
8,-0.5626759340717213,2026-05-10 10:45:41.098574,2026-05-10 10:48:04.207781,0 days 00:02:23.109207,0,NORMAL,0.45,SAME,0.8,3,0.05,0.02,0.6,0.08,12,0.6,10,0.5,-0.21421712729651926,0.11730022312594998,0.6969176135504042,0.3315173504224692,,COMPLETE
9,-0.1850232061984593,2026-05-10 10:48:04.231475,2026-05-10 10:48:51.343897,0 days 00:00:47.112422,1,NO_NET_ADD,0.35,SAME,0.8,2,0.03,0.02,0.3,0.16,5,0.5,10,0.65,,,,,,PRUNED
