number,value,datetime_start,datetime_complete,duration,params_BEAR_GRID_MAX_LAYER_CAP,params_BEAR_GRID_MODE,params_BEAR_RATIO,params_BEAR_UNIVERSE_MODE,params_BULL_RATIO,params_GRID_MAX_LAYER,params_GRID_STEP_MAX,params_GRID_STEP_MIN,params_GRID_STEP_VOL_FACTOR,params_LAYER_FRACTION,params_MAX_HOLD,params_MIN_ANCHORS_IN_POOL,params_NEUTRAL_RATIO,params_REBALANCE_FREQ,params_UNIVERSE_MODE,params_VOL_WEIGHT,user_attrs_avg_test_score,user_attrs_avg_train_score,user_attrs_test_score_std,user_attrs_train_test_gap,user_attrs_validation_error,state
0,-0.6410529359174669,2026-05-13 23:09:07.579634,2026-05-13 23:12:48.873210,0 days 00:03:41.293576,1,NORMAL,0.45,ETF_DEFENSIVE,0.8,2,0.05,0.01,0.3,0.16,8,2,0.5,10,WIDE_V2,0.65,-0.34991847116707514,-0.009322261448188254,0.5822689295007836,0.3405962097188869,,COMPLETE
1,-0.6745068674897018,2026-05-13 23:12:48.895495,2026-05-13 23:18:40.938077,0 days 00:05:52.042582,0,CAP_LAYER,0.25,SAME,0.7,4,0.05,0.01,0.6,0.12,5,2,0.6,5,WIDE_V2,0.65,-0.30878300054583446,0.01204384748082001,0.7314477338877347,0.32082684802665445,,COMPLETE
2,-0.7237813865536653,2026-05-13 23:18:40.963602,2026-05-13 23:19:07.401428,0 days 00:00:26.437826,1,NO_NET_ADD,0.35,ETF_DEFENSIVE,0.8,3,0.05,0.01,0.6,0.16,10,1,0.7,5,ANCHOR_SATELLITE,0.8,-0.6599811120397824,-0.22671376476242844,0.12760054902776582,0.43326734727735394,,COMPLETE
3,-0.6795332566328738,2026-05-13 23:19:07.426940,2026-05-13 23:20:01.843147,0 days 00:00:54.416207,1,NO_NET_ADD,0.25,SAME,0.8,4,0.03,0.02,0.6,0.12,8,1,0.6,20,WIDE_V2,0.65,-0.3679097723027734,-0.06326184470009397,0.6232469686602009,0.30464792760267945,,COMPLETE
4,-0.8101060196786055,2026-05-13 23:20:01.864436,2026-05-13 23:20:25.071602,0 days 00:00:23.207166,0,NORMAL,0.35,SAME,0.9,2,0.05,0.01,0.3,0.08,10,1,0.5,20,ANCHOR_SATELLITE,0.65,-0.7495779289560541,-0.25707511331959365,0.12105618144510281,0.4925028156364605,,COMPLETE
5,-9999.0,2026-05-13 23:20:25.097890,2026-05-13 23:20:25.451382,0 days 00:00:00.353492,1,CAP_LAYER,0.25,SAME,0.7,4,0.03,0.01,0.6,0.08,10,1,0.7,20,ANCHOR_SATELLITE,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.25 / 0.7 / 0.7,COMPLETE
6,-0.7971907421662383,2026-05-13 23:20:25.478480,2026-05-13 23:20:32.551106,0 days 00:00:07.072626,1,CAP_LAYER,0.35,ETF_DEFENSIVE,0.7,3,0.05,0.02,0.6,0.16,3,2,0.6,10,ANCHOR_SATELLITE,0.65,,,,,,PRUNED
7,-9999.0,2026-05-13 23:20:32.576981,2026-05-13 23:20:32.942794,0 days 00:00:00.365813,0,NO_NET_ADD,0.35,ETF_DEFENSIVE,0.7,2,0.03,0.01,0.45,0.16,10,2,0.7,5,ANCHOR_SATELLITE,0.65,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.35 / 0.7 / 0.7,COMPLETE
8,-0.5848926475578538,2026-05-13 23:20:32.969178,2026-05-13 23:21:13.673830,0 days 00:00:40.704652,1,NO_NET_ADD,0.35,SAME,0.7,2,0.03,0.01,0.45,0.08,8,2,0.6,20,WIDE_V2,0.65,-0.2502221157423696,-0.021090545633538207,0.6693410636309683,0.22913157010883137,,COMPLETE
9,-9999.0,2026-05-13 23:21:13.697197,2026-05-13 23:21:14.031876,0 days 00:00:00.334679,0,CAP_LAYER,0.45,ETF_DEFENSIVE,0.7,4,0.03,0.01,0.6,0.08,3,1,0.7,20,WIDE_V2,0.5,,,,,BEAR_RATIO < NEUTRAL_RATIO < BULL_RATIO 约束违反: 0.45 / 0.7 / 0.7,COMPLETE
