timestamp,action,name,code,price,shares,position,profit,level,date,year_month,label
2015-01-05 09:30:00,重装建仓,纳指ETF,513100.XSHG,1.392,35900.0,35900,,,2015-01-05,2015-01,"纳指ETF
513100.XSHG"
2015-01-05 09:30:00,重装建仓,黄金ETF,518880.XSHG,2.412,20700.0,20700,,,2015-01-05,2015-01,"黄金ETF
518880.XSHG"
2015-01-05 09:30:00,重装建仓,500ETF,510500.XSHG,1.489,33500.0,33500,,,2015-01-05,2015-01,"500ETF
510500.XSHG"
2015-01-05 09:30:00,重装建仓,创业板ETF易方达,159915.XSHE,1.432,34900.0,34900,,,2015-01-05,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-06 09:31:00,加仓,纳指ETF,513100.XSHG,1.349,3500.0,39400,,1.0,2015-01-06,2015-01,"纳指ETF
513100.XSHG"
2015-01-06 13:03:00,止盈,创业板ETF易方达,159915.XSHE,1.477,3400.0,31500,152.5,-1.0,2015-01-06,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-06 13:53:00,止盈,500ETF,510500.XSHG,1.534,3300.0,30200,147.99,-1.0,2015-01-06,2015-01,"500ETF
510500.XSHG"
2015-01-09 10:24:00,止盈,创业板ETF易方达,159915.XSHE,1.522,3300.0,28200,148.0,-2.0,2015-01-09,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-12 13:13:00,加仓,500ETF,510500.XSHG,1.486,3200.0,33400,,0.0,2015-01-12,2015-01,"500ETF
510500.XSHG"
2015-01-15 14:57:00,止盈,500ETF,510500.XSHG,1.535,3300.0,30100,161.19,-1.0,2015-01-15,2015-01,"500ETF
510500.XSHG"
2015-01-16 09:31:00,止盈,黄金ETF,518880.XSHG,2.509,2000.0,18700,193.5,-1.0,2015-01-16,2015-01,"黄金ETF
518880.XSHG"
2015-01-16 11:09:00,止盈,创业板ETF易方达,159915.XSHE,1.568,3200.0,25000,146.7,-3.0,2015-01-16,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-19 09:32:00,加仓,500ETF,510500.XSHG,1.487,3200.0,33300,,0.0,2015-01-19,2015-01,"500ETF
510500.XSHG"
2015-01-19 10:21:00,止盈,500ETF,510500.XSHG,1.532,3300.0,30000,147.99,-1.0,2015-01-19,2015-01,"500ETF
510500.XSHG"
2015-01-19 10:36:00,止盈,创业板ETF易方达,159915.XSHE,1.616,3100.0,21900,148.3,-4.0,2015-01-19,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-19 14:17:00,加仓,500ETF,510500.XSHG,1.486,3200.0,33200,,0.0,2015-01-19,2015-01,"500ETF
510500.XSHG"
2015-01-19 14:28:00,加仓,创业板ETF易方达,159915.XSHE,1.567,3000.0,24900,,-3.0,2015-01-19,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-20 09:31:00,止盈,黄金ETF,518880.XSHG,2.598,1900.0,16800,168.61,-2.0,2015-01-20,2015-01,"黄金ETF
518880.XSHG"
2015-01-20 10:34:00,止盈,创业板ETF易方达,159915.XSHE,1.616,3100.0,21800,151.4,-4.0,2015-01-20,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-20 14:52:00,止盈,500ETF,510500.XSHG,1.531,3300.0,29900,147.99,-1.0,2015-01-20,2015-01,"500ETF
510500.XSHG"
2015-01-21 09:43:00,止盈,创业板ETF易方达,159915.XSHE,1.665,3000.0,18800,146.5,-5.0,2015-01-21,2015-01,"创业板ETF易方达
159915.XSHE"
2015-01-22 09:31:00,止盈,500ETF,510500.XSHG,1.577,3200.0,26700,146.7,-2.0,2015-01-22,2015-01,"500ETF
510500.XSHG"
2015-01-23 09:31:00,止盈,纳指ETF,513100.XSHG,1.401,3700.0,35700,191.88,0.0,2015-01-23,2015-01,"纳指ETF
513100.XSHG"
2015-01-28 10:42:00,止盈,500ETF,510500.XSHG,1.625,3100.0,23600,148.3,-3.0,2015-01-28,2015-01,"500ETF
510500.XSHG"
2015-01-29 09:31:00,加仓,纳指ETF,513100.XSHG,1.354,3500.0,39200,,1.0,2015-01-29,2015-01,"纳指ETF
513100.XSHG"
2015-02-02 09:31:00,加仓,500ETF,510500.XSHG,1.564,3000.0,26600,,-2.0,2015-02-02,2015-02,"500ETF
510500.XSHG"
2015-02-02 09:31:00,加仓,创业板ETF易方达,159915.XSHE,1.615,3000.0,21800,,-4.0,2015-02-02,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-03 09:53:00,止盈,创业板ETF易方达,159915.XSHE,1.664,3000.0,18800,146.5,-5.0,2015-02-03,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-04 10:59:00,止盈,500ETF,510500.XSHG,1.611,3100.0,23500,145.2,-3.0,2015-02-04,2015-02,"500ETF
510500.XSHG"
2015-02-05 10:06:00,破顶-提前,创业板ETF易方达,159915.XSHE,1.714,,29100,,-5.0,2015-02-05,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-06 11:21:00,加仓,500ETF,510500.XSHG,1.561,3100.0,26600,,-2.0,2015-02-06,2015-02,"500ETF
510500.XSHG"
2015-02-06 14:52:00,加仓,创业板ETF易方达,159915.XSHE,1.662,2900.0,32000,,1.0,2015-02-06,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-09 09:32:00,加仓,黄金ETF,518880.XSHG,2.502,1900.0,18700,,-1.0,2015-02-09,2015-02,"黄金ETF
518880.XSHG"
2015-02-11 10:30:00,止盈,创业板ETF易方达,159915.XSHE,1.715,3000.0,29000,158.49,0.0,2015-02-11,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-12 10:01:00,止盈,纳指ETF,513100.XSHG,1.395,3600.0,35600,147.1,0.0,2015-02-12,2015-02,"纳指ETF
513100.XSHG"
2015-02-13 09:38:00,止盈,500ETF,510500.XSHG,1.608,3200.0,23400,149.89,-3.0,2015-02-13,2015-02,"500ETF
510500.XSHG"
2015-02-16 09:31:00,止盈,创业板ETF易方达,159915.XSHE,1.771,2900.0,26100,161.89,-1.0,2015-02-16,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-16 14:41:00,止盈,创业板ETF易方达,159915.XSHE,1.826,2800.0,23300,153.49,-2.0,2015-02-16,2015-02,"创业板ETF易方达
159915.XSHE"
2015-02-17 09:32:00,止盈,500ETF,510500.XSHG,1.666,3100.0,20300,179.28,-4.0,2015-02-17,2015-02,"500ETF
510500.XSHG"
2015-02-17 14:34:00,止盈,纳指ETF,513100.XSHG,1.437,3500.0,32100,146.5,-1.0,2015-02-17,2015-02,"纳指ETF
513100.XSHG"
2015-03-02 09:42:00,止盈,创业板ETF易方达,159915.XSHE,1.883,2700.0,20600,153.39,-3.0,2015-03-02,2015-03,"创业板ETF易方达
159915.XSHE"
2015-03-02 13:15:00,止盈,500ETF,510500.XSHG,1.716,3000.0,17300,149.49,-5.0,2015-03-02,2015-03,"500ETF
510500.XSHG"
2015-03-04 14:56:00,止盈,创业板ETF易方达,159915.XSHE,1.94,2600.0,18000,147.7,-4.0,2015-03-04,2015-03,"创业板ETF易方达
159915.XSHE"
2015-03-06 13:07:00,加仓,创业板ETF易方达,159915.XSHE,1.88,2500.0,20500,,-3.0,2015-03-06,2015-03,"创业板ETF易方达
159915.XSHE"
2015-03-09 09:31:00,加仓,黄金ETF,518880.XSHG,2.383,1900.0,20600,,0.0,2015-03-09,2015-03,"黄金ETF
518880.XSHG"
2015-03-10 09:38:00,止盈,创业板ETF易方达,159915.XSHE,1.937,2600.0,17900,147.7,-4.0,2015-03-10,2015-03,"创业板ETF易方达
159915.XSHE"
2015-03-13 11:08:00,破顶-提前,500ETF,510500.XSHG,1.768,,28200,,-5.0,2015-03-13,2015-03,"500ETF
510500.XSHG"
2015-03-13 14:37:00,止盈,创业板ETF易方达,159915.XSHE,1.996,2500.0,15400,147.0,-5.0,2015-03-13,2015-03,"创业板ETF易方达
159915.XSHE"
2015-03-16 11:08:00,止盈,500ETF,510500.XSHG,1.822,2800.0,25400,150.69,-1.0,2015-03-16,2015-03,"500ETF
510500.XSHG"
2015-03-16 13:28:00,破顶-提前,创业板ETF易方达,159915.XSHE,2.056,,24300,,-5.0,2015-03-16,2015-03,"创业板ETF易方达
159915.XSHE"
2015-03-18 13:02:00,止盈,500ETF,510500.XSHG,1.878,2700.0,22700,150.69,-2.0,2015-03-18,2015-03,"500ETF
510500.XSHG"
2015-03-20 09:49:00,止盈,创业板ETF易方达,159915.XSHE,2.118,2400.0,21900,148.29,-1.0,2015-03-20,2015-03,"创业板ETF易方达
159915.XSHE"
